PERIOD,PV,AC,EV,BAC
1,971094.86,485547.43,0,300000000
2,4358103.72,2179051.86,3000,300000000
3,11068576.07,5534288.035,1470000,300000000
4,24906476.49,12453238.245,2830445.67,300000000
5,41380558.09,20690279.045,5068893.99,300000000
6,63166679.46,31583339.73,6180000,300000000
7,87538440.58,43769220.29,7290000,300000000
8,111873961.91,55936980.955,10890000,300000000
9,136868196.81,68434098.405,13830000,300000000
10,160514555.53,80257277.765,25290000,300000000
11,181862545.33,90931272.665,30150000,300000000
12,199473586.49,99736793.245,33990000,300000000
13,214498134.94,107249067.47,35940000,300000000
14,229247536.32,114623768.16,42330000,300000000
15,243996937.7,121998468.85,55230000,300000000
16,255478869.21,127739434.605,62310000,300000000
17,266208861.72,133104430.86,73500000,300000000
18,275782144.94,137891072.47,81353543.39,300000000
19,283263250.99,141631625.495,88797363.54,300000000
20,291523147.22,145761573.61,101627216.18,300000000
21,295877514.96,147938757.48,108454329.68,300000000
22,298267212.19,149133606.095,120340854.14,300000000
23,299833280.81,149916640.405,130160967.44,300000000
24,300000000,150000000,133298947.05,300000000
25,300000000,150000000,136980533.06,300000000
26,300000000,150000000,139082545.86,300000000
27,300000000,150000000,141803173.26,300000000
28,300000000,150000000,142079860.4,300000000
29,300000000,150000000,142909718.9,300000000
30,300000000,150000000,143732854.24,300000000
31,300000000,150000000,144688487.9,300000000
32,300000000,150000000,164305498.61,300000000
33,300000000,150000000,165316339.85,300000000
34,300000000,150000000,166118744,300000000
35,300000000,150000000,168201571.81,300000000
36,300000000,150000000,169026852.43,300000000
37,300000000,150000000,169993446,300000000
